Romans 1:1	Paul, a servant of Jesus Christ, called to be an apostle, set apart for the Good News of God,
2 Corinthians 11:4	For if he who comes preaches another Jesus, whom we did not preach, or if you receive a different spirit, which you did not receive, or a different “good news”, which you did not accept, you put up with that well enough.
2 Corinthians 11:5	For I reckon that I am not at all behind the very best apostles.
2 Corinthians 11:6	But though I am unskilled in speech, yet I am not unskilled in knowledge. No, in every way we have been revealed to you in all things.
2 Corinthians 11:7	Or did I commit a sin in humbling myself that you might be exalted, because I preached to you God’s Good News free of charge?
2 Corinthians 11:8	I robbed other assemblies, taking wages from them that I might serve you.
2 Corinthians 11:9	When I was present with you and was in need, I wasn’t a burden on anyone, for the brothers, when they came from Macedonia, supplied the measure of my need. In everything I kept myself from being burdensome to you, and I will continue to do so.
2 Corinthians 11:10	As the truth of Christ is in me, no one will stop me from this boasting in the regions of Achaia.
2 Corinthians 11:11	Why? Because I don’t love you? God knows.
2 Corinthians 11:12	But what I do, that I will do, that I may cut off occasion from them that desire an occasion, that in which they boast, they may be found even as we.
2 Corinthians 11:13	For such men are false apostles, deceitful workers, masquerading as Christ’s apostles.
2 Corinthians 11:14	And no wonder, for even Satan masquerades as an angel of light.
2 Corinthians 11:15	It is no great thing therefore if his servants also masquerade as servants of righteousness, whose end will be according to their works.
2 Corinthians 11:16	I say again, let no one think me foolish. But if so, yet receive me as foolish, that I also may boast a little.
2 Corinthians 11:17	That which I speak, I don’t speak according to the Lord, but as in foolishness, in this confidence of boasting.
2 Corinthians 11:18	Seeing that many boast after the flesh, I will also boast.
2 Corinthians 11:19	For you bear with the foolish gladly, being wise.
2 Corinthians 11:20	For you bear with a man, if he brings you into bondage, if he devours you, if he takes you captive, if he exalts himself, if he strikes you on the face.
2 Corinthians 11:21	I speak by way of disparagement, as though we had been weak. Yet however any is bold (I speak in foolishness), I am bold also.
2 Corinthians 11:22	Are they Hebrews? So am I. Are they Israelites? So am I. Are they the seed of Abraham? So am I.
2 Corinthians 11:23	Are they servants of Christ? (I speak as one beside himself) I am more so; in labors more abundantly, in prisons more abundantly, in stripes above measure, in deaths often.
2 Corinthians 11:24	Five times from the Jews I received forty stripes minus one.
2 Corinthians 11:25	Three times I was beaten with rods. Once I was stoned. Three times I suffered shipwreck. I have been a night and a day in the deep.
2 Corinthians 11:26	I have been in travels often, perils of rivers, perils of robbers, perils from my countrymen, perils from the Gentiles, perils in the city, perils in the wilderness, perils in the sea, perils among false brothers;
2 Corinthians 11:27	in labor and travail, in watchings often, in hunger and thirst, in fastings often, and in cold and nakedness.
2 Corinthians 11:28	Besides those things that are outside, there is that which presses on me daily, anxiety for all the assemblies.
2 Corinthians 11:29	Who is weak, and I am not weak? Who is caused to stumble, and I don’t burn with indignation?
2 Corinthians 11:30	If I must boast, I will boast of the things that concern my weakness.
2 Corinthians 11:31	The God and Father of the Lord Jesus Christ, he who is blessed forevermore, knows that I don’t lie.
2 Corinthians 11:32	In Damascus the governor under King Aretas guarded the city of the Damascenes desiring to arrest me.
2 Corinthians 11:33	Through a window I was let down in a basket by the wall, and escaped his hands.
2 Corinthians 12:1	It is doubtless not profitable for me to boast. For I will come to visions and revelations of the Lord.
2 Corinthians 12:2	I know a man in Christ, fourteen years ago (whether in the body, I don’t know, or whether out of the body, I don’t know; God knows), such a one caught up into the third heaven.
2 Corinthians 12:3	I know such a man (whether in the body, or outside of the body, I don’t know; God knows),
2 Corinthians 12:4	how he was caught up into Paradise, and heard unspeakable words, which it is not lawful for a man to utter.
2 Corinthians 12:5	On behalf of such a one I will boast, but on my own behalf I will not boast, except in my weaknesses.
2 Corinthians 12:6	For if I would desire to boast, I will not be foolish; for I will speak the truth. But I refrain, so that no man may think more of me than that which he sees in me, or hears from me.
2 Corinthians 12:7	By reason of the exceeding greatness of the revelations, that I should not be exalted excessively, there was given to me a thorn in the flesh, a messenger of Satan to torment me, that I should not be exalted excessively.
2 Corinthians 12:8	Concerning this thing, I begged the Lord three times that it might depart from me.
2 Corinthians 12:9	He has said to me, “My grace is sufficient for you, for my power is made perfect in weakness.” Most gladly therefore I will rather glory in my weaknesses, that the power of Christ may rest on me.
2 Corinthians 12:10	Therefore I take pleasure in weaknesses, in injuries, in necessities, in persecutions, in distresses, for Christ’s sake. For when I am weak, then am I strong.
2 Corinthians 12:11	I have become foolish in boasting. You compelled me, for I ought to have been commended by you, for in nothing was I inferior to the very best apostles, though I am nothing.
2 Corinthians 12:12	Truly the signs of an apostle were worked among you in all patience, in signs and wonders and mighty works.
2 Corinthians 12:13	For what is there in which you were made inferior to the rest of the assemblies, unless it is that I myself was not a burden to you? Forgive me this wrong.
2 Corinthians 12:14	Behold, this is the third time I am ready to come to you, and I will not be a burden to you; for I seek not your possessions, but you. For the children ought not to save up for the parents, but the parents for the children.
2 Corinthians 12:15	I will most gladly spend and be spent for your souls. If I love you more abundantly, am I loved the less?
2 Corinthians 12:16	But be it so, I did not myself burden you. But, being crafty, I caught you with deception.
2 Corinthians 12:17	Did I take advantage of you by anyone of them whom I have sent to you?
2 Corinthians 12:18	I exhorted Titus, and I sent the brother with him. Did Titus take any advantage of you? Didn’t we walk in the same spirit? Didn’t we walk in the same steps?
2 Corinthians 12:19	Again, do you think that we are excusing ourselves to you? In the sight of God we speak in Christ. But all things, beloved, are for your edifying.
2 Corinthians 12:20	For I am afraid that by any means, when I come, I might find you not the way I want to, and that I might be found by you as you don’t desire; that by any means there would be strife, jealousy, outbursts of anger, factions, slander, whisperings, proud thoughts, riots;
2 Corinthians 12:21	that again when I come my God would humble me before you, and I would mourn for many of those who have sinned before now, and not repented of the uncleanness and sexual immorality and lustfulness which they committed.
2 Corinthians 13:1	This is the third time I am coming to you. “At the mouth of two or three witnesses shall every word be established.”
2 Corinthians 13:2	I have said beforehand, and I do say beforehand, as when I was present the second time, so now, being absent, I write to those who have sinned before now, and to all the rest, that, if I come again, I will not spare;
2 Corinthians 13:3	seeing that you seek a proof of Christ who speaks in me; who toward you is not weak, but is powerful in you.
2 Corinthians 13:4	For he was crucified through weakness, yet he lives through the power of God. For we also are weak in him, but we will live with him through the power of God toward you.
2 Corinthians 13:5	Test your own selves, whether you are in the faith. Test your own selves. Or don’t you know as to your own selves, that Jesus Christ is in you?—unless indeed you are disqualified.
2 Corinthians 13:6	But I hope that you will know that we aren’t disqualified.
2 Corinthians 13:7	Now I pray to God that you do no evil; not that we may appear approved, but that you may do that which is honorable, though we are as reprobate.
2 Corinthians 13:8	For we can do nothing against the truth, but for the truth.
2 Corinthians 13:9	For we rejoice when we are weak and you are strong. And this we also pray for, even your perfecting.
2 Corinthians 13:10	For this cause I write these things while absent, that I may not deal sharply when present, according to the authority which the Lord gave me for building up, and not for tearing down.
2 Corinthians 13:11	Finally, brothers, rejoice. Be perfected, be comforted, be of the same mind, live in peace, and the God of love and peace will be with you.
2 Corinthians 13:12	Greet one another with a holy kiss.
2 Corinthians 13:13	All the saints greet you.
2 Corinthians 13:14	The grace of the Lord Jesus Christ, the love of God, and the fellowship of the Holy Spirit, be with you all. Amen.
Galatians 1:1	Paul, an apostle (not from men, neither through man, but through Jesus Christ, and God the Father, who raised him from the dead),
Galatians 1:2	and all the brothers who are with me, to the assemblies of Galatia:
Galatians 1:3	Grace to you and peace from God the Father, and our Lord Jesus Christ,
Galatians 1:4	who gave himself for our sins, that he might deliver us out of this present evil age, according to the will of our God and Father—
Galatians 1:5	to whom be the glory forever and ever. Amen.
Galatians 1:6	I marvel that you are so quickly deserting him who called you in the grace of Christ to a different “good news”;
Galatians 1:7	and there isn’t another “good news.” Only there are some who trouble you, and want to pervert the Good News of Christ.
Galatians 1:8	But even though we, or an angel from heaven, should preach to you any “good news” other than that which we preached to you, let him be cursed.
Galatians 1:9	As we have said before, so I now say again: if any man preaches to you any “good news” other than that which you received, let him be cursed.
Galatians 1:10	For am I now seeking the favor of men, or of God? Or am I striving to please men? For if I were still pleasing men, I wouldn’t be a servant of Christ.
Galatians 1:11	But I make known to you, brothers, concerning the Good News which was preached by me, that it is not according to man.
Galatians 1:12	For neither did I receive it from man, nor was I taught it, but it came to me through revelation of Jesus Christ.
Galatians 1:13	For you have heard of my way of living in time past in the Jews’ religion, how that beyond measure I persecuted the assembly of God, and ravaged it.
Galatians 1:14	I advanced in the Jews’ religion beyond many of my own age among my countrymen, being more exceedingly zealous for the traditions of my fathers.
Galatians 1:15	But when it was the good pleasure of God, who separated me from my mother’s womb, and called me through his grace,
Galatians 1:16	to reveal his Son in me, that I might preach him among the Gentiles, I didn’t immediately confer with flesh and blood,
Galatians 1:17	nor did I go up to Jerusalem to those who were apostles before me, but I went away into Arabia. Then I returned to Damascus.
Galatians 1:18	Then after three years I went up to Jerusalem to visit Peter, and stayed with him fifteen days.
Galatians 1:19	But of the other apostles I saw no one, except James, the Lord’s brother.
Galatians 1:20	Now about the things which I write to you, behold, before God, I’m not lying.
Galatians 1:21	Then I came to the regions of Syria and Cilicia.
Galatians 1:22	I was still unknown by face to the assemblies of Judea which were in Christ,
Galatians 1:23	but they only heard: “He who once persecuted us now preaches the faith that he once tried to destroy.”
Galatians 1:24	And they glorified God in me.
Galatians 2:1	Then after a period of fourteen years I went up again to Jerusalem with Barnabas, taking Titus also with me.
Galatians 2:2	I went up by revelation, and I laid before them the Good News which I preach among the Gentiles, but privately before those who were respected, for fear that I might be running, or had run, in vain.
Galatians 2:3	But not even Titus, who was with me, being a Greek, was compelled to be circumcised.
Galatians 2:4	This was because of the false brothers secretly brought in, who stole in to spy out our liberty which we have in Christ Jesus, that they might bring us into bondage;
Galatians 2:5	to whom we gave no place in the way of subjection, not for an hour, that the truth of the Good News might continue with you.
Galatians 2:6	But from those who were reputed to be important (whatever they were, it makes no difference to me; God doesn’t show partiality to man)—they, I say, who were respected imparted nothing to me,
Galatians 2:7	but to the contrary, when they saw that I had been entrusted with the Good News for the uncircumcision, even as Peter with the Good News for the circumcision
Galatians 2:8	(for he who appointed Peter to the apostleship of the circumcision appointed me also to the Gentiles);
Galatians 2:9	and when they perceived the grace that was given to me, James and Cephas and John, they who were reputed to be pillars, gave to me and Barnabas the right hand of fellowship, that we should go to the Gentiles, and they to the circumcision.
Galatians 2:10	They only asked us to remember the poor—which very thing I was also zealous to do.
Galatians 2:11	But when Peter came to Antioch, I resisted him to his face, because he stood condemned.
Galatians 2:12	For before some people came from James, he ate with the Gentiles. But when they came, he drew back and separated himself, fearing those who were of the circumcision.
Galatians 2:13	And the rest of the Jews joined him in his hypocrisy; so that even Barnabas was carried away with their hypocrisy.
Galatians 2:14	But when I saw that they didn’t walk uprightly according to the truth of the Good News, I said to Peter before them all, “If you, being a Jew, live as the Gentiles do, and not as the Jews do, why do you compel the Gentiles to live as the Jews do?
Galatians 2:15	“We, being Jews by nature, and not Gentile sinners,
Galatians 2:16	yet knowing that a man is not justified by the works of the law but through faith in Jesus Christ, even we believed in Christ Jesus, that we might be justified by faith in Christ, and not by the works of the law, because no flesh will be justified by the works of the law.
Galatians 2:17	But if, while we sought to be justified in Christ, we ourselves also were found sinners, is Christ a servant of sin? Certainly not!
Galatians 2:18	For if I build up again those things which I destroyed, I prove myself a law-breaker.
Galatians 2:19	For I, through the law, died to the law, that I might live to God.
Galatians 2:20	I have been crucified with Christ, and it is no longer I that live, but Christ living in me. That life which I now live in the flesh, I live by faith in the Son of God, who loved me, and gave himself up for me.
Galatians 2:21	I don’t make void the grace of God. For if righteousness is through the law, then Christ died for nothing!”
Galatians 3:1	Foolish Galatians, who has bewitched you not to obey the truth, before whose eyes Jesus Christ was openly set forth among you as crucified?
Galatians 3:2	I just want to learn this from you. Did you receive the Spirit by the works of the law, or by hearing of faith?
Galatians 3:3	Are you so foolish? Having begun in the Spirit, are you now completed in the flesh?
Galatians 3:4	Did you suffer so many things in vain, if it is indeed in vain?
Galatians 3:5	He therefore who supplies the Spirit to you, and works miracles among you, does he do it by the works of the law, or by hearing of faith?
Galatians 3:6	Even as Abraham “believed God, and it was counted to him for righteousness.”
Galatians 3:7	Know therefore that those who are of faith, the same are children of Abraham.
Galatians 3:8	The Scripture, foreseeing that God would justify the Gentiles by faith, preached the Good News beforehand to Abraham, saying, “In you all the nations will be blessed.”
Galatians 3:9	So then, those who are of faith are blessed with the faithful Abraham.
Galatians 3:10	For as many as are of the works of the law are under a curse. For it is written, “Cursed is everyone who doesn’t continue in all things that are written in the book of the law, to do them.”
Galatians 3:11	Now that no man is justified by the law before God is evident, for, “The righteous will live by faith.”
Galatians 3:12	The law is not of faith, but, “The man who does them will live by them.”
Galatians 3:13	Christ redeemed us from the curse of the law, having become a curse for us. For it is written, “Cursed is everyone who hangs on a tree,”
Galatians 3:14	that the blessing of Abraham might come on the Gentiles through Christ Jesus; that we might receive the promise of the Spirit through faith.
Galatians 3:15	Brothers, speaking of human terms, though it is only a man’s covenant, yet when it has been confirmed, no one makes it void, or adds to it.
Galatians 3:16	Now the promises were spoken to Abraham and to his seed. He doesn’t say, “To seeds,” as of many, but as of one, “To your seed,” which is Christ.
Galatians 3:17	Now I say this. A covenant confirmed beforehand by God in Christ, the law, which came four hundred thirty years after, does not annul, so as to make the promise of no effect.
Galatians 3:18	For if the inheritance is of the law, it is no more of promise; but God has granted it to Abraham by promise.
Galatians 3:19	What then is the law? It was added because of transgressions, until the seed should come to whom the promise has been made. It was ordained through angels by the hand of a mediator.
Galatians 3:20	Now a mediator is not between one, but God is one.
Galatians 3:21	Is the law then against the promises of God? Certainly not! For if there had been a law given which could make alive, most certainly righteousness would have been of the law.
Galatians 3:22	But the Scriptures imprisoned all things under sin, that the promise by faith in Jesus Christ might be given to those who believe.
Galatians 3:23	But before faith came, we were kept in custody under the law, confined for the faith which should afterwards be revealed.
Galatians 3:24	So that the law has become our tutor to bring us to Christ, that we might be justified by faith.
Galatians 3:25	But now that faith has come, we are no longer under a tutor.
Galatians 3:26	For you are all children of God, through faith in Christ Jesus.
Galatians 3:27	For as many of you as were baptized into Christ have put on Christ.
Galatians 3:28	There is neither Jew nor Greek, there is neither slave nor free man, there is neither male nor female; for you are all one in Christ Jesus.
Galatians 3:29	If you are Christ’s, then you are Abraham’s seed and heirs according to promise.
Galatians 4:1	But I say that so long as the heir is a child, he is no different from a bondservant, though he is lord of all;
Galatians 4:2	but is under guardians and stewards until the day appointed by the father.
Galatians 4:3	So we also, when we were children, were held in bondage under the elemental principles of the world.
Galatians 4:4	But when the fullness of the time came, God sent out his Son, born to a woman, born under the law,
Galatians 4:5	that he might redeem those who were under the law, that we might receive the adoption of children.
Galatians 4:6	And because you are children, God sent out the Spirit of his Son into your hearts, crying, “Abba, Father!”
Galatians 4:7	So you are no longer a bondservant, but a son; and if a son, then an heir of God through Christ.
Galatians 4:8	However at that time, not knowing God, you were in bondage to those who by nature are not gods.
Galatians 4:9	But now that you have come to know God, or rather to be known by God, why do you turn back again to the weak and miserable elemental principles, to which you desire to be in bondage all over again?
Galatians 4:10	You observe days, months, seasons, and years.
Galatians 4:11	I am afraid for you, that I might have wasted my labor for you.
Galatians 4:12	I beg you, brothers, become as I am, for I also have become as you are. You did me no wrong,
Galatians 4:13	but you know that because of weakness of the flesh I preached the Good News to you the first time.
Galatians 4:14	That which was a temptation to you in my flesh, you didn’t despise nor reject; but you received me as an angel of God, even as Christ Jesus.
Galatians 4:15	What was the blessing you enjoyed? For I testify to you that, if possible, you would have plucked out your eyes and given them to me.
Galatians 4:16	So then, have I become your enemy by telling you the truth?
Galatians 4:17	They zealously seek you in no good way. No, they desire to alienate you, that you may seek them.
Galatians 4:18	But it is always good to be zealous in a good cause, and not only when I am present with you.
Galatians 4:19	My little children, of whom I am again in travail until Christ is formed in you—
Galatians 4:20	but I could wish to be present with you now, and to change my tone, for I am perplexed about you.
Galatians 4:21	Tell me, you that desire to be under the law, don’t you listen to the law?
Galatians 4:22	For it is written that Abraham had two sons, one by the handmaid, and one by the free woman.
Galatians 4:23	However, the son by the handmaid was born according to the flesh, but the son by the free woman was born through promise.
Galatians 4:24	These things contain an allegory, for these are two covenants. One is from Mount Sinai, bearing children to bondage, which is Hagar.
Galatians 4:25	For this Hagar is Mount Sinai in Arabia, and answers to the Jerusalem that exists now, for she is in bondage with her children.
Galatians 4:26	But the Jerusalem that is above is free, which is the mother of us all.
Galatians 4:27	For it is written, “Rejoice, you barren who don’t bear. Break forth and shout, you that don’t travail. For more are the children of the desolate than of her who has a husband.”
Galatians 4:28	Now we, brothers, as Isaac was, are children of promise.
Galatians 4:29	But as then, he who was born according to the flesh persecuted him who was born according to the Spirit, so also it is now.
Galatians 4:30	However what does the Scripture say? “Throw out the handmaid and her son, for the son of the handmaid will not inherit with the son of the free woman.”
Galatians 4:31	So then, brothers, we are not children of a handmaid, but of the free woman.
Galatians 5:1	Stand firm therefore in the liberty by which Christ has made us free, and don’t be entangled again with a yoke of bondage.
Galatians 5:2	Behold, I, Paul, tell you that if you receive circumcision, Christ will profit you nothing.
Galatians 5:3	Yes, I testify again to every man who receives circumcision, that he is a debtor to do the whole law.
Galatians 5:4	You are alienated from Christ, you who desire to be justified by the law. You have fallen away from grace.
Galatians 5:5	For we, through the Spirit, by faith wait for the hope of righteousness.
Galatians 5:6	For in Christ Jesus neither circumcision amounts to anything, nor uncircumcision, but faith working through love.
Galatians 5:7	You were running well! Who interfered with you that you should not obey the truth?
Galatians 5:8	This persuasion is not from him who calls you.
Galatians 5:9	A little yeast grows through the whole lump.
Galatians 5:10	I have confidence toward you in the Lord that you will think no other way. But he who troubles you will bear his judgment, whoever he is.
Galatians 5:11	But I, brothers, if I still preach circumcision, why am I still persecuted? Then the stumbling block of the cross has been removed.
Galatians 5:12	I wish that those who disturb you would cut themselves off.
Galatians 5:13	For you, brothers, were called for freedom. Only don’t use your freedom for gain to the flesh, but through love be servants to one another.
Galatians 5:14	For the whole law is fulfilled in one word, in this: “You shall love your neighbor as yourself.”
Galatians 5:15	But if you bite and devour one another, be careful that you don’t consume one another.
Galatians 5:16	But I say, walk by the Spirit, and you won’t fulfill the lust of the flesh.
Galatians 5:17	For the flesh lusts against the Spirit, and the Spirit against the flesh; and these are contrary to one another, that you may not do the things that you desire.
Galatians 5:18	But if you are led by the Spirit, you are not under the law.
Galatians 5:19	Now the works of the flesh are obvious, which are: adultery, sexual immorality, uncleanness, lustfulness,
Galatians 5:20	idolatry, sorcery, hatred, strife, jealousies, outbursts of anger, rivalries, divisions, heresies,
Galatians 5:21	envyings, murders, drunkenness, orgies, and things like these; of which I forewarn you, even as I also forewarned you, that those who practice such things will not inherit the Kingdom of God.
Galatians 5:22	But the fruit of the Spirit is love, joy, peace, patience, kindness, goodness, faith,
Galatians 5:23	gentleness, and self-control. Against such things there is no law.
Galatians 5:24	Those who belong to Christ have crucified the flesh with its passions and lusts.
Galatians 5:25	If we live by the Spirit, let’s also walk by the Spirit.
Galatians 5:26	Let’s not become conceited, provoking one another, and envying one another.
Galatians 6:1	Brothers, even if a man is caught in some fault, you who are spiritual must restore such a one in a spirit of gentleness; looking to yourself so that you also aren’t tempted.
Galatians 6:2	Bear one another’s burdens, and so fulfill the law of Christ.
Galatians 6:3	For if a man thinks himself to be something when he is nothing, he deceives himself.
Galatians 6:4	But let each man test his own work, and then he will take pride in himself and not in his neighbor.
Galatians 6:5	For each man will bear his own burden.
Galatians 6:6	But let him who is taught in the word share all good things with him who teaches.
Galatians 6:7	Don’t be deceived. God is not mocked, for whatever a man sows, that he will also reap.
Galatians 6:8	For he who sows to his own flesh will from the flesh reap corruption. But he who sows to the Spirit will from the Spirit reap eternal life.
Galatians 6:9	Let us not be weary in doing good, for we will reap in due season, if we don’t give up.
Galatians 6:10	So then, as we have opportunity, let’s do what is good toward all men, and especially toward those who are of the household of the faith.
Galatians 6:11	See with what large letters I write to you with my own hand.
Galatians 6:12	As many as desire to look good in the flesh, they compel you to be circumcised; only that they may not be persecuted for the cross of Christ.
Galatians 6:13	For even they who receive circumcision don’t keep the law themselves, but they desire to have you circumcised, that they may boast in your flesh.
Galatians 6:14	But far be it from me to boast, except in the cross of our Lord Jesus Christ, through which the world has been crucified to me, and I to the world.
Galatians 6:15	For in Christ Jesus neither is circumcision anything, nor uncircumcision, but a new creation.
Galatians 6:16	As many as walk by this rule, peace and mercy be on them, and on God’s Israel.
Galatians 6:17	From now on, let no one cause me any trouble, for I bear the marks of the Lord Jesus branded on my body.
Galatians 6:18	The grace of our Lord Jesus Christ be with your spirit, brothers. Amen.
Ephesians 1:1	Paul, an apostle of Christ Jesus through the will of God, to the saints who are at Ephesus, and the faithful in Christ Jesus:
Ephesians 1:2	Grace to you and peace from God our Father and the Lord Jesus Christ.
Ephesians 1:3	Blessed be the God and Father of our Lord Jesus Christ, who has blessed us with every spiritual blessing in the heavenly places in Christ;
Ephesians 1:4	even as he chose us in him before the foundation of the world, that we would be holy and without blemish before him in love;
Ephesians 1:5	having predestined us for adoption as children through Jesus Christ to himself, according to the good pleasure of his desire,
Ephesians 1:6	to the praise of the glory of his grace, by which he freely bestowed favor on us in the Beloved,
Ephesians 1:7	in whom we have our redemption through his blood, the forgiveness of our trespasses, according to the riches of his grace,
Ephesians 1:8	which he made to abound toward us in all wisdom and prudence,
Ephesians 1:9	making known to us the mystery of his will, according to his good pleasure which he purposed in him
Ephesians 1:10	to an administration of the fullness of the times, to sum up all things in Christ, the things in the heavens, and the things on the earth, in him;
Ephesians 1:11	in whom also we were assigned an inheritance, having been foreordained according to the purpose of him who works all things after the counsel of his will;
Ephesians 1:12	to the end that we should be to the praise of his glory, we who had before hoped in Christ:
Ephesians 1:13	in whom you also, having heard the word of the truth, the Good News of your salvation—in whom, having also believed, you were sealed with the Holy Spirit of promise,
Ephesians 1:14	who is a pledge of our inheritance, to the redemption of God’s own possession, to the praise of his glory.
Ephesians 1:15	For this cause I also, having heard of the faith in the Lord Jesus which is among you, and the love which you have toward all the saints,
Ephesians 1:16	don’t cease to give thanks for you, making mention of you in my prayers,
Ephesians 1:17	that the God of our Lord Jesus Christ, the Father of glory, may give to you a spirit of wisdom and revelation in the knowledge of him;
Ephesians 1:18	having the eyes of your hearts enlightened, that you may know what is the hope of his calling, and what are the riches of the glory of his inheritance in the saints,
Ephesians 1:19	and what is the exceeding greatness of his power toward us who believe, according to that working of the strength of his might
Ephesians 1:20	which he worked in Christ, when he raised him from the dead, and made him to sit at his right hand in the heavenly places,
Ephesians 1:21	far above all rule, and authority, and power, and dominion, and every name that is named, not only in this age, but also in that which is to come.
Ephesians 1:22	He put all things in subjection under his feet, and gave him to be head over all things for the assembly,
Ephesians 1:23	which is his body, the fullness of him who fills all in all.
Ephesians 2:1	You were made alive when you were dead in transgressions and sins,
Ephesians 2:2	in which you once walked according to the course of this world, according to the prince of the power of the air, the spirit who now works in the children of disobedience;
Ephesians 2:3	among whom we also all once lived in the lust of our flesh, doing the desires of the flesh and of the mind, and were by nature children of wrath, even as the rest.
Ephesians 2:4	But God, being rich in mercy, for his great love with which he loved us,
Ephesians 2:5	even when we were dead through our trespasses, made us alive together with Christ (by grace you have been saved),
Ephesians 2:6	and raised us up with him, and made us to sit with him in the heavenly places in Christ Jesus,
Ephesians 2:7	that in the ages to come he might show the exceeding riches of his grace in kindness toward us in Christ Jesus;
Ephesians 2:8	for by grace you have been saved through faith, and that not of yourselves; it is the gift of God,
Ephesians 2:9	not of works, that no one would boast.
Ephesians 2:10	For we are his workmanship, created in Christ Jesus for good works, which God prepared before that we would walk in them.
Ephesians 2:11	Therefore remember that once you, the Gentiles in the flesh, who are called “uncircumcision” by that which is called “circumcision,” (in the flesh, made by hands);
Ephesians 2:12	that you were at that time separate from Christ, alienated from the commonwealth of Israel, and strangers from the covenants of the promise, having no hope and without God in the world.
Ephesians 2:13	But now in Christ Jesus you who once were far off are made near in the blood of Christ.
Ephesians 2:14	For he is our peace, who made both one, and broke down the middle wall of partition,
Ephesians 2:15	having abolished in the flesh the hostility, the law of commandments contained in ordinances, that he might create in himself one new man of the two, making peace;
Ephesians 2:16	and might reconcile them both in one body to God through the cross, having killed the hostility thereby.
Ephesians 2:17	He came and preached peace to you who were far off and to those who were near.
Ephesians 2:18	For through him we both have our access in one Spirit to the Father.
Ephesians 2:19	So then you are no longer strangers and foreigners, but you are fellow citizens with the saints, and of the household of God,
Ephesians 2:20	being built on the foundation of the apostles and prophets, Christ Jesus himself being the chief cornerstone;
Ephesians 2:21	in whom the whole building, fitted together, grows into a holy temple in the Lord;
Ephesians 2:22	in whom you also are built together for a habitation of God in the Spirit.
Ephesians 3:1	For this cause I, Paul, am the prisoner of Christ Jesus on behalf of you Gentiles,
Ephesians 3:2	if it is so that you have heard of the administration of that grace of God which was given me toward you;
Ephesians 3:3	how that by revelation the mystery was made known to me, as I wrote before in few words,
Ephesians 3:4	by which, when you read, you can perceive my understanding in the mystery of Christ;
Ephesians 3:5	which in other generations was not made known to the children of men, as it has now been revealed to his holy apostles and prophets in the Spirit;
Ephesians 3:6	that the Gentiles are fellow heirs, and fellow members of the body, and fellow partakers of his promise in Christ Jesus through the Good News,
Ephesians 3:7	of which I was made a servant, according to the gift of that grace of God which was given me according to the working of his power.
Ephesians 3:8	To me, the very least of all saints, was this grace given, to preach to the Gentiles the unsearchable riches of Christ,
Ephesians 3:9	and to make all men see what is the administration of the mystery which for ages has been hidden in God, who created all things through Jesus Christ;
Ephesians 3:10	to the intent that now through the assembly the manifold wisdom of God might be made known to the principalities and the powers in the heavenly places,
Ephesians 3:11	according to the eternal purpose which he purposed in Christ Jesus our Lord;
Ephesians 3:12	in whom we have boldness and access in confidence through our faith in him.
Ephesians 3:13	Therefore I ask that you may not lose heart at my troubles for you, which are your glory.
Ephesians 3:14	For this cause, I bow my knees to the Father of our Lord Jesus Christ,
Ephesians 3:15	from whom every family in heaven and on earth is named,
Ephesians 3:16	that he would grant you, according to the riches of his glory, that you may be strengthened with power through his Spirit in the inward man;
Ephesians 3:17	that Christ may dwell in your hearts through faith; to the end that you, being rooted and grounded in love,
Ephesians 3:18	may be strengthened to comprehend with all the saints what is the breadth and length and height and depth,
Ephesians 3:19	and to know Christ’s love which surpasses knowledge, that you may be filled with all the fullness of God.
Ephesians 3:20	Now to him who is able to do exceedingly abundantly above all that we ask or think, according to the power that works in us,
Ephesians 3:21	to him be the glory in the assembly and in Christ Jesus to all generations forever and ever. Amen.
Ephesians 4:1	I therefore, the prisoner in the Lord, beg you to walk worthily of the calling with which you were called,
Ephesians 4:2	with all lowliness and humility, with patience, bearing with one another in love;
Ephesians 4:3	being eager to keep the unity of the Spirit in the bond of peace.
Ephesians 4:4	There is one body, and one Spirit, even as you also were called in one hope of your calling;
Ephesians 4:5	one Lord, one faith, one baptism,
Ephesians 4:6	one God and Father of all, who is over all, and through all, and in us all.
Ephesians 4:7	But to each one of us was the grace given according to the measure of the gift of Christ.
Ephesians 4:8	Therefore he says, “When he ascended on high, he led captivity captive, and gave gifts to men.”
Ephesians 4:9	Now this, “He ascended,” what is it but that he also first descended into the lower parts of the earth?
Ephesians 4:10	He who descended is the one who also ascended far above all the heavens, that he might fill all things.
Ephesians 4:11	He gave some to be apostles; and some, prophets; and some, evangelists; and some, shepherds and teachers;
Ephesians 4:12	for the perfecting of the saints, to the work of serving, to the building up of the body of Christ;
Ephesians 4:13	until we all attain to the unity of the faith, and of the knowledge of the Son of God, to a full grown man, to the measure of the stature of the fullness of Christ;
Ephesians 4:14	that we may no longer be children, tossed back and forth and carried about with every wind of doctrine, by the trickery of men, in craftiness, after the wiles of error;
Ephesians 4:15	but speaking truth in love, we may grow up in all things into him, who is the head, Christ;
Ephesians 4:16	from whom all the body, being fitted and knit together through that which every joint supplies, according to the working in measure of each individual part, makes the body increase to the building up of itself in love.
Ephesians 4:17	This I say therefore, and testify in the Lord, that you no longer walk as the rest of the Gentiles also walk, in the futility of their mind,
